Time, Altitude, Velocity, Temperature (F), Voltage
11.25, 1688, -7, 89.35, 4.15
11.30, 1688, -11, 89.35, 4.15
11.35, 1687, -13, 89.35, 4.15
11.40, 1686, -13, 89.35, 4.15
11.45, 1685, -8, 89.35, 4.15
11.50, 1611, 1, 89.35, 4.15
11.55, 1679, 9, 89.35, 4.15
11.60, 1688, 12, 89.35, 4.15
11.65, 1693, 7, 89.35, 4.15
11.70, 1692, -3, 89.35, 4.15
11.75, 1685, -17, 89.35, 4.15
11.80, 1684, -28, 89.35, 4.15
11.85, 1683, -32, 89.35, 4.15
11.90, 1680, -30, 89.35, 4.15
11.95, 1680, -24, 89.35, 4.15
12.00, 1678, -16, 89.35, 4.15
12.05, 1678, -11, 89.35, 4.15
12.10, 1681, -7, 89.35, 4.15
12.15, 1677, -4, 89.35, 4.15
12.20, 1678, -5, 89.35, 4.15
12.25, 1679, -8, 89.35, 4.15
12.30, 1677, -15, 89.35, 4.15
12.35, 1679, -26, 89.35, 4.15
12.40, 1678, -40, 89.35, 4.15
12.45, 1672, -52, 89.35, 4.15
12.50, 1667, -61, 89.35, 4.15
12.55, 1664, -56, 89.35, 4.15
12.60, 1662, -44, 89.35, 4.15
12.65, 1657, -28, 89.37, 4.15
12.70, 1656, -11, 89.35, 4.15
12.75, 1656, -8, 89.35, 4.15
12.80, 1653, -8, 89.35, 4.15
12.85, 1651, -12, 89.35, 4.15
12.90, 1649, -17, 89.37, 4.15
12.95, 1651, -17, 89.35, 4.15
13.00, 1651, -17, 89.37, 4.15
13.05, 1649, -17, 89.35, 4.15
13.10, 1649, -18, 89.35, 4.15
13.15, 1649, -18, 89.37, 4.15
13.20, 1650, -19, 89.35, 4.15
13.25, 1650, -20, 89.37, 4.15
13.30, 1650, -20, 89.37, 4.15
13.35, 1648, -20, 89.37, 4.15
13.40, 1647, -20, 89.37, 4.15
13.45, 1648, -19, 89.37, 4.15
13.50, 1648, -18, 89.35, 4.15
13.55, 1648, -16, 89.35, 4.15
13.60, 1648, -16, 89.35, 4.15
13.65, 1647, -15, 89.37, 4.15
13.70, 1649, -15, 89.37, 4.15
13.75, 1649, -15, 89.35, 4.15
13.80, 1649, -15, 89.37, 4.15
13.85, 1650, -14, 89.37, 4.15
13.90, 1645, -14, 89.35, 4.15
13.95, 1645, -14, 89.37, 4.15
14.00, 1648, -14, 89.35, 4.15
14.05, 1646, -15, 89.37, 4.15
14.10, 1640, -15, 89.37, 4.15
14.15, 1639, -16, 89.37, 4.15
14.20, 1641, -16, 89.37, 4.15
14.25, 1640, -16, 89.37, 4.15
14.30, 1638, -16, 89.35, 4.15
14.35, 1635, -17, 89.37, 4.15
14.40, 1634, -17, 89.37, 4.15
14.45, 1635, -17, 89.37, 4.15
14.50, 1635, -17, 89.37, 4.15
14.55, 1631, -18, 89.37, 4.15
14.60, 1628, -18, 89.37, 4.15
14.65, 1626, -19, 89.37, 4.15
14.70, 1625, -20, 89.37, 4.15
14.75, 1624, -20, 89.37, 4.15
14.80, 1624, -20, 89.37, 4.15
14.85, 1624, -20, 89.37, 4.15
14.90, 1623, -20, 89.37, 4.15
14.95, 1622, -21, 89.37, 4.15
15.00, 1621, -21, 89.35, 4.15
15.05, 1619, -21, 89.37, 4.15
15.10, 1618, -21, 89.37, 4.15
15.15, 1618, -21, 89.37, 4.15
15.20, 1619, -21, 89.37, 4.15
15.25, 1617, -21, 89.37, 4.15
15.30, 1616, -21, 89.37, 4.15
15.35, 1616, -21, 89.37, 4.15
15.40, 1614, -21, 89.37, 4.15
15.45, 1615, -20, 89.37, 4.15
15.50, 1614, -20, 89.37, 4.15
15.55, 1611, -19, 89.35, 4.15
15.60, 1611, -18, 89.37, 4.15
15.65, 1610, -17, 89.37, 4.15
15.70, 1610, -17, 89.37, 4.15
15.75, 1609, -17, 89.35, 4.15
15.80, 1607, -17, 89.37, 4.15
15.85, 1608, -17, 89.35, 4.15
15.90, 1607, -17, 89.37, 4.15
15.95, 1605, -16, 89.37, 4.15
16.00, 1603, -16, 89.37, 4.15
16.05, 1602, -16, 89.35, 4.15
16.10, 1600, -16, 89.37, 4.15
16.15, 1599, -16, 89.37, 4.15
16.20, 1598, -17, 89.37, 4.15
16.25, 1597, -17, 89.35, 4.15
16.30, 1596, -17, 89.37, 4.15
16.35, 1595, -17, 89.37, 4.15
16.40, 1594, -17, 89.37, 4.15
16.45, 1593, -17, 89.37, 4.15
16.50, 1594, -17, 89.37, 4.15
16.55, 1593, -17, 89.37, 4.15
16.60, 1593, -17, 89.37, 4.15
16.65, 1593, -17, 89.37, 4.15
16.70, 1592, -17, 89.37, 4.15
16.75, 1591, -17, 89.37, 4.15
16.80, 1591, -17, 89.35, 4.15
